,bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,TP,TN,FN,FP,Accuracy,Misclass,FPRate,FPRatio,TPR,TNR,Precision,f1
65,65.0,123.0,123.0,0.0,100.0,0.0,7951.0,7667.0,284.0,64.23963133640552,95.62289562289563,31.383264286490103,26.996478873239436,284.0,4268.0,13.0,7667.0,0.3721386527141923,0.6278613472858077,0.6423963133640553,26.996478873239436,0.9562289562289562,0.3576036866359447,0.03571877751226261,0.06886517943743937
66,66.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,8073.0,7788.0,285.0,65.25345622119816,95.95959595959596,30.706139738397795,27.326315789473686,285.0,4147.0,12.0,7788.0,0.3623283191628515,0.6376716808371484,0.6525345622119816,27.326315789473686,0.9595959595959596,0.3474654377880184,0.03530286138981791,0.06810035842293907
67,67.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,8195.0,7909.0,286.0,66.26728110599079,96.29629629629629,30.0290151903055,27.653846153846153,286.0,4026.0,11.0,7909.0,0.35251798561151076,0.6474820143884892,0.6626728110599078,27.653846153846153,0.9629629629629629,0.33732718894009217,0.0348993288590604,0.06735751295336787
68,68.0,123.0,123.0,0.0,100.0,0.0,8318.0,8032.0,286.0,67.29786342689569,96.29629629629629,28.998432869400602,28.083916083916083,286.0,3903.0,11.0,8032.0,0.34246239372138654,0.6575376062786135,0.6729786342689569,28.083916083916083,0.9629629629629629,0.3270213657310431,0.03438326520798269,0.06639582124201975
69,69.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,8440.0,8153.0,287.0,68.31168831168831,96.63299663299664,28.321308321308322,28.407665505226483,287.0,3782.0,10.0,8153.0,0.3326520601700458,0.6673479398299542,0.6831168831168831,28.407665505226483,0.9663299663299664,0.3168831168831169,0.03400473933649289,0.06569760787455647
70,70.0,122.0,122.0,0.0,100.0,0.0,8562.0,8275.0,287.0,69.33389191453708,96.63299663299664,27.29910471845956,28.83275261324042,287.0,3660.0,10.0,8275.0,0.32267822105951605,0.677321778940484,0.6933389191453707,28.83275261324042,0.9663299663299664,0.30666108085462923,0.03352020555944873,0.06479286601196522
71,71.0,123.0,122.0,1.0,99.1869918699187,0.8130081300813004,8685.0,8397.0,288.0,70.35609551738584,96.96969696969697,26.61360145231113,29.15625,288.0,3538.0,9.0,8397.0,0.31278613472858074,0.6872138652714193,0.7035609551738584,29.15625,0.9696969696969697,0.2964390448261416,0.03316062176165803,0.06412825651302606
72,72.0,122.0,122.0,0.0,100.0,0.0,8807.0,8519.0,288.0,71.3782991202346,96.96969696969697,25.591397849462368,29.57986111111111,288.0,3416.0,9.0,8519.0,0.302812295618051,0.697187704381949,0.713782991202346,29.57986111111111,0.9696969696969697,0.28621700879765394,0.032701260361076415,0.0632688927943761
73,73.0,122.0,122.0,0.0,100.0,0.0,8929.0,8641.0,288.0,72.40050272308336,96.96969696969697,24.569194246613606,30.00347222222222,288.0,3294.0,9.0,8641.0,0.29283845650752127,0.7071615434924787,0.7240050272308337,30.00347222222222,0.9696969696969697,0.2759949727691663,0.03225445178631426,0.062432256665944076
74,74.0,123.0,123.0,0.0,100.0,0.0,9052.0,8764.0,288.0,73.43108504398828,96.96969696969697,23.538611925708693,30.430555555555557,288.0,3171.0,9.0,8764.0,0.282782864617397,0.717217135382603,0.7343108504398826,30.430555555555557,0.9696969696969697,0.2656891495601173,0.031816173221387536,0.06161086747245695
